,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,18609,21586,60,14,14,14,,,,,,,,,,,,,,,,,,,21586
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21585,285,285,,,,,,,,,,,,,,,,,,,,,,21585
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21584,284,284,,,,,,,,,,,,,,,,,,,,,,21584
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,121,21584,20,,,,,,,,,,,,,,,,,,,,,,21584
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,121,21584,3,3,,,,,,,,,,,,,,,,,,,,,21584
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21583,283,283,,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,n2833777.iavs9x.u.avast.com,237,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,r3802239.iavs9x.u.avast.com,6504,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,r0965026.iavs9x.u.avast.com,839,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,z4055813.iavs9x.u.avast.com,4258,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,z4055813.iavs9x.u.avast.com,4258,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.244.55,8.8.8.8,r3802239.iavs9x.u.avast.com,6504,21583,20,20,,,,,,,,,,,,,,,,,,,,,21583
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21582,184,184,,,,,,,,,,,,,,,,,,,,,,21582
10.30.224.195,8.8.8.8,r0965026.iavs9x.u.avast.com,6207,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.244.55,8.8.8.8,b8003600.iavs9x.u.avast.com,6807,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.244.55,8.8.8.8,y8002308.iavs9x.u.avast.com,5436,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.244.55,8.8.8.8,b8003600.iavs9x.u.avast.com,6807,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.244.55,8.8.8.8,b7210692.iavs9x.u.avast.com,6959,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.244.55,8.8.8.8,s-iavs9x.avcdn.net,1140,21582,20,20,,,,,,,,,,,,,,,,,,,,,21582
10.30.232.170,1.0.0.1,use.typekit.net,41,21581,18,18,,,,,,,,,,,,,,,,,,,,,21581
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21581,281,281,,,,,,,,,,,,,,,,,,,,,,21581
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21581,281,281,,,,,,,,,,,,,,,,,,,,,,21581
10.30.224.195,8.8.8.8,c3978047.iavs9x.u.avast.com,3928,21581,11,11,,,,,,,,,,,,,,,,,,,,,21581
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,194,21581,20,,,,,,,,,,,,,,,,,,,,,,21581
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,194,21581,20,,,,,,,,,,,,,,,,,,,,,,21581
10.30.254.229,8.8.8.8,captive.apple.com,18980,281,281,11,21581,1,,,,,,,,,,,,,,,,,,,21581
10.30.244.55,8.8.8.8,y8002308.iavs9x.u.avast.com,5435,21581,3,3,,,,,,,,,,,,,,,,,,,,,21581
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,18246,21581,60,21,21,21,,,,,,,,,,,,,,,,,,,21581
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21580,280,280,,,,,,,,,,,,,,,,,,,,,,21580
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21580,280,280,,,,,,,,,,,,,,,,,,,,,,21580
10.30.232.170,1.0.0.1,use.typekit.net,39,21579,,,,,,,,,,,,,,,,,,,,,,,21579
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21579,279,279,,,,,,,,,,,,,,,,,,,,,,21579
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21579,279,279,,,,,,,,,,,,,,,,,,,,,,21579
10.30.219.139,8.8.8.8,w5805295.iavs9x.u.avast.com,6429,21576,20,20,,,,,,,,,,,,,,,,,,,,,21576
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21576,276,276,,,,,,,,,,,,,,,,,,,,,,21576
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21576,276,276,,,,,,,,,,,,,,,,,,,,,,21576
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,427,21576,20,,,,,,,,,,,,,,,,,,,,,,21576
10.30.219.139,8.8.8.8,g1928587.iavs9x.u.avast.com,4801,21575,20,20,,,,,,,,,,,,,,,,,,,,,21575
10.30.219.139,8.8.8.8,l7814800.iavs9x.u.avast.com,5838,21575,20,20,,,,,,,,,,,,,,,,,,,,,21575
10.30.219.139,8.8.8.8,w5805295.iavs9x.u.avast.com,6428,21575,20,20,,,,,,,,,,,,,,,,,,,,,21575
10.30.219.139,8.8.8.8,s1843811.iavs9x.u.avast.com,6714,21575,20,20,,,,,,,,,,,,,,,,,,,,,21575
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21575,177,177,,,,,,,,,,,,,,,,,,,,,,21575
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21575,275,275,,,,,,,,,,,,,,,,,,,,,,21575
10.30.238.223,180.76.76.76,ai0eac-inapps.appsflyersdk.com,1330,21575,149,,,,,,,,,,,,,,,,,,,,,,21575
10.30.244.55,8.8.8.8,w5805295.iavs9x.u.avast.com,7016,21575,20,20,,,,,,,,,,,,,,,,,,,,,21575
10.30.244.55,8.8.8.8,n8283613.iavs9x.u.avast.com,3765,21574,20,20,,,,,,,,,,,,,,,,,,,,,21574
10.30.244.55,8.8.8.8,f3461309.iavs9x.u.avast.com,5310,21574,20,20,,,,,,,,,,,,,,,,,,,,,21574
10.30.244.55,8.8.8.8,t1024579.iavs9x.u.avast.com,5625,21574,20,20,,,,,,,,,,,,,,,,,,,,,21574
10.30.244.55,8.8.8.8,w5805295.iavs9x.u.avast.com,7015,21574,20,20,,,,,,,,,,,,,,,,,,,,,21574
10.30.244.55,8.8.8.8,l7814800.iavs9x.u.avast.com,5042,21574,19,19,,,,,,,,,,,,,,,,,,,,,21574
10.30.244.55,8.8.8.8,r4427608.iavs9x.u.avast.com,6447,21573,20,20,,,,,,,,,,,,,,,,,,,,,21573
10.30.244.55,8.8.8.8,t1024579.iavs9x.u.avast.com,5226,21573,20,20,,,,,,,,,,,,,,,,,,,,,21573
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21573,273,273,,,,,,,,,,,,,,,,,,,,,,21573
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21573,273,273,,,,,,,,,,,,,,,,,,,,,,21573
